,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
171,AIDA180,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f355,FALSE,0.62170741,2287,1254,1033,TRUE
172,AIDA181,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f356,FALSE,0.584546581,2027,1163,864,FALSE
173,AIDA182,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f357,TRUE,0.264987892,1930,1584,346,TRUE
174,AIDA183,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f358,TRUE,0.764060601,386,319,67,TRUE
175,AIDA184,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f359,FALSE,0.536812632,2153,1382,771,FALSE
176,AIDA185,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f360,TRUE,0.847232136,2182,1788,394,TRUE
177,AIDA186,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f361,TRUE,0.673931163,2506,883,1623,TRUE
178,AIDA187,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f362,FALSE,0.282801092,1782,1508,274,TRUE
179,AIDA188,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f363,FALSE,0.691875853,543,455,88,TRUE
180,AIDA189,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f364,TRUE,0.171362406,1095,855,240,TRUE
