"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"201","AC004938.2",0.0608509514628186,-2.88241039822884,0,0.015,1,1.21573262677128,"AIDA055",4.36413789343494e-06,4.47417500269985,59,3.47436740098104e-05
"202","AC004943.2",0.540942457578364,1.10107371495745,0.014,0.008,1,0.266848930245208,"AIDA104",0.00180117863308061,3.81240881758488,102,0.00481591558482615
"203","AC004951.1",0.40042043843168,0.836900339206803,0.012,0.008,1,0.397483763181831,"AIDA067",0.000794167239005148,3.26816633485363,71,0.00255806415063811
"204","AC004973.1",4.47233538903143e-05,5.84871517086587,0.021,0,1,4.34946563532201,"AIDA023",4.47233538903143e-05,5.84871517086587,1,0.000247375257563093
"205","AC004974.1",0.161193859952489,-1.21483004574891,0.013,0.03,1,0.792651504959828,"AIDA117",0.0016033837597509,3.99557456942383,117,0.00440806082750597
"207","AC004982.2",0.2232859786135,1.42474597746238,0.02,0.009,1,0.65113854787337,"AIDA181",0.0234298749302392,-3.35116659469612,104,0.0375823296431444
"209","AC005034.6",0.549383401919999,-0.11837951572653,0.012,0,1,0.26012446570804,"AIDA146",2.48847541963458e-10,5.63152280571419,15,4.78558634253714e-09
"211","AC005041.4",0.527579526633227,1.0957893757554,0.014,0.007,1,0.27771206612555,"AIDA002",0.00658992125304065,5.09838235160641,12,0.0133908684604657
"214","AC005052.2",0.001112413960854,-4.86900881516733,0.002,0.037,1,2.95373356935498,"AIDA048",0.000187501500070394,-4.86900881516733,2,0.000802089750301132
"216","AC005070.3",0.0491587402328439,-2.96494378028253,0,0.012,1,1.3083992550967,"AIDA006",0.00119916068570154,-3.23391021788065,104,0.0035304290944766
"218","AC005076.1",0.427991891320592,-0.281821157540106,0.007,0.013,1,0.368564458996365,"AIDA040",1.97921419463275e-05,3.58275253542839,38,0.000126957760044915
"219","AC005082.1",0.518148595264033,0.180308600012433,0.009,0.014,1,0.285545674909711,"AIDA021",0.000744574282375215,3.43541152337753,17,0.00242803006276391
"220","AC005082.2",0.0241722818441765,-3.79963703427864,0,0.014,1,1.61668235060358,"AIDA084",0.0241722818441765,-3.79963703427864,1,0.0383313164514776
"221","AC005083.1",0.00115588201426673,-4.50315586828964,0.002,0.037,1,2.93708649391548,"AIDA048",9.24647229722429e-05,-4.50315586828964,7,0.000452361945811719
"223","AC005154.3",0.0104554941877569,-3.9837664754167,0,0.016,1,1.98065543506596,"AIDA062",0.0104554941877569,-3.9837664754167,1,0.0193468353221592
"226","AC005224.2",0.33860571341659,1.27568347694926,0.014,0,1,0.470305718157492,"AIDA174",0.0187624294390032,3.69462839362776,53,0.031181614733085
"227","AC005224.3",0.521443454162154,-0.804011527083203,0.009,0.019,1,0.282792780002215,"AIDA173",0.0130029959610237,-4.22193905254597,9,0.0231905749412123
"228","AC005229.4",0.29056501646669,-1.37190469446226,0,0.015,1,0.536756675206794,"AIDA002",0.00461215452787256,3.84978722161923,94,0.0101398693553194
